id,amount,status,fees,tax,utr,created_at,additional_utr
setl_SyGTMfXXH20GqA,5372.16,processed,0,0,AXISCN1366965155,06/06/2026 13:05:04,UTIBN62026060672401960
setl_Sz3hVzP4S35nHk,10742.20,processed,0,0,AXISCN1368805457,08/06/2026 13:23:37,AXISCN1368805457
setl_SzS2zKbb6lNxj5,14646.00,processed,0,0,AXISCN1369979194,09/06/2026 13:02:55,AXISCN1369979194
setl_Szqe05pLd5WDBa,6346.60,processed,0,0,AXISCN1371297207,10/06/2026 13:09:08,AXISCN1371297207
setl_T0FEQTEVK3HFhc,7811.20,processed,0,0,AXISCN1372475825,11/06/2026 13:18:24,AXISCN1372475825
setl_T0do1fTcOkZm1w,7811.20,processed,0,0,AXISCN1373569527,12/06/2026 13:24:09,AXISCN1373569527
setl_T1pNmR11lEXbW2,4393.80,processed,0,0,AXISCN1375864531,15/06/2026 13:21:15,AXISCN1375864531
setl_T2DmseXogKaklG,24411.80,processed,0,0,AXISCN1376903091,16/06/2026 13:02:50,AXISCN1376903091
setl_T2cPJBurkN9Kid,9764.00,processed,0,0,AXISCN1378052457,17/06/2026 13:09:00,UTIBN62026061704314277
setl_T3PVp374mPaZED,3417.40,processed,0,0,AXISCN1380230676,19/06/2026 13:14:01,UTIBN62026061927856790
setl_T3nyF7ZwIG9rfK,1464.60,processed,0,0,AXISCN1381157482,20/06/2026 13:05:59,UTIBN62026062039193739
